channel_id,video_id,video_title,author,comment,publishedAt,is_reply,reply_to,clean_comment,Label
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@blvanhquan68,Ai sẽ là người nở cụ cười sau cuối đây?,2025-04-14T12:56:12Z,FALSE,,ai người nở_cụ cười cuối,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@attrong1710,E dự đoán arsenal 2-2 real lượt về,2025-04-14T13:11:14Z,TRUE,@blvanhquan68,e dự_đoán arsenal 2 2 real lượt về,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@manhtuongnguyen8046,Mạnh dán đoán Real Madrid mới là đội chiến thắng sau 2 lượt trận,2025-04-14T14:39:57Z,TRUE,@blvanhquan68,mạnh dán đoán real madrid mới đội chiến_thắng 2 lượt trận,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@LinhHoàng-z2x,Vẫn lấy hình ảnh con lạc đà Ronaldo vào để câu view ricon,2025-04-14T14:52:26Z,FALSE,,lấy hình_ảnh con lạc_đà ronaldo câu view ricon,1
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@Daonguyen29,Trọng tài sẽ để Arsenal vào phòng trong đỡ gây hoạ cho PSG,2025-04-14T14:50:00Z,FALSE,,trọng_tài arsenal phòng trong đỡ gây họa psg,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@DungLuu-u7e,"Mình fan a sê nan ,mình đoán real lội ngược 4-3😂😂",2025-04-14T14:45:57Z,FALSE,,mình fan_a sê nan mình đoán real lội ngược 4 3,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@manhtuongnguyen8046,Dự đoán Real sẽ thắng chung cuộc,2025-04-14T14:41:22Z,FALSE,,dự_đoán real thắng chung cuộc,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@GNguyen-w7e,"Ê sao content hài v, tóm tắt kiểu real kiểu j cx ăn tâm linh ấy nhể?",2025-04-14T14:40:40Z,FALSE,,ê_sao content hài_v tóm_tắt kiểu real kiểu j cx ăn_tâm_linh ấy nhể,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@manhtuongnguyen8046,Lượt về mới hấp dẫn Real thắng chung cuộc sau 2 vòng,2025-04-14T14:40:37Z,FALSE,,lượt về mới hấp_dẫn real thắng chung cuộc 2 vòng,0
UCQqSJr6WYH0Bq7mrlFhzWDw,-8nofSjsHA8,"THE LOCKER ROOM | ARSENAL KHÔNG SỢ BERNABEU ĐÂU, NHƯNG CÓ NHỮNG BÀI HỌC HỌ PHẢI NHỚ",@thaunguyen84,"Hù dọa, chơi trò tâm lý có lẽ là chiêu cuối cùng rồi vì Real chẳng còn gì để chơi với Arsenal.",2025-04-14T14:40:27Z,FALSE,,hù dọa chơi trò tâm_lý có_lẽ chiêu cuối_cùng real chẳng còn chơi arsenal,0
